iter	Passed	Remaining
402	12490	18502
403	12531	18486
404	12572	18471
405	12601	18437
406	12640	18417
407	12664	18376
408	12679	18321
409	12718	18301
410	12755	18279
411	12791	18256
412	12824	18226
413	12851	18190
414	12867	18137
415	12897	18106
416	12935	18085
417	12976	18067
418	13000	18027
419	13039	18006
420	13067	17971
421	13104	17948
422	13149	17936
423	13193	17922
424	13215	17880
425	13251	17855
426	13291	17836
427	13316	17796
428	13347	17765
429	13365	17716
430	13393	17682
431	13419	17644
432	13436	17594
433	13472	17569
434	13497	17531
435	13522	17492
436	13539	17443
437	13562	17402
438	13585	17361
439	13619	17334
440	13646	17298
441	13665	17252
442	13695	17220
443	13735	17200
444	13773	17178
445	13797	17138
446	13821	17099
447	13839	17052
448	13874	17026
449	13908	16998
450	13925	16951
451	13943	16904
452	13970	16869
453	13996	16833
454	14015	16787
455	14036	16745
456	14053	16698
457	14078	16660
458	14116	16638
459	14158	16621
460	14197	16600
461	14239	16581
462	14305	16591
463	14340	16566
464	14371	16535
465	14392	16492
466	14420	16458
467	14449	16425
468	14486	16401
469	14527	16381
470	14566	16360
471	14603	16336
472	14636	16307
473	14662	16270
474	14699	16246
475	14741	16228
476	14758	16181
477	14798	16160
478	14839	16140
479	14879	16119
480	14919	16098
481	14962	16079
482	15004	16061
483	15052	16047
484	15087	16020
485	15109	15980
486	15150	15959
487	15177	15924
488	15214	15898
489	15231	15852
490	15260	15820
491	15312	15810
492	15341	15777
493	15354	15727
494	15395	15706
495	15427	15676
496	15467	15654
497	15505	15630
498	15547	15609
499	15584	15584
500	15626	15564
501	15664	15540
502	15702	15515
503	15737	15487
504	15779	15466
505	15819	15444
506	15842	15405
507	15879	15378
508	15919	15356
509	15972	15346
510	16011	15321
511	16050	15297
512	16094	15278
513	16122	15244
514	16161	15219
515	16199	15195
516	16242	15174
517	16284	15153
518	16350	15153
519	16392	15131
520	16434	15109
521	16474	15086
522	16515	15063
523	16557	15040
524	16595	15015
525	16638	14993
526	16661	14953
527	16675	14907
528	16705	14874
529	16747	14851
530	16788	14828
531	16831	14806
532	16875	14785
533	16915	14761
534	16956	14737
535	16995	14712
536	17039	14691
537	17079	14666
538	17123	14645
539	17168	14624
540	17209	14601
541	17270	14594
542	17331	14586
543	17380	14568
544	17421	14544
545	17460	14518
546	17490	14484
547	17529	14458
548	17572	14435
549	17614	14411
550	17654	14386
551	17694	14360
552	17732	14333
553	17777	14312
554	17822	14290
555	17865	14266
556	17883	14223
557	17924	14198
558	17967	14174
559	18008	14149
560	18051	14126
561	18090	14099
562	18129	14072
563	18170	14046
564	18205	14016
565	18249	13993
566	18289	13967
567	18320	13933
568	18384	13926
569	18425	13899
570	18466	13873
571	18518	13856
572	18557	13828
573	18599	13803
574	18629	13769
575	18671	13744
576	18713	13719
577	18753	13692
578	18792	13664
579	18833	13638
580	18874	13611
581	18916	13586
582	18960	13561
583	19003	13536
584	19044	13510
585	19081	13481
586	19119	13452
587	19160	13425
588	19203	13399
589	19243	13372
590	19283	13344
591	19325	13318
592	19394	13311
593	19439	13286
594	19483	13262
595	19526	13236
596	19567	13209
597	19608	13181
598	19648	13153
599	19686	13124
600	19728	13097
601	19768	13069
602	19808	13041
603	19850	13014
604	19891	12986
605	19932	12959
606	19976	12933
607	20017	12905
608	20061	12880
609	20103	12853
610	20144	12825
611	20184	12796
612	20224	12768
613	20269	12742
614	20312	12715
615	20349	12685
616	20419	12675
617	20459	12646
618	20497	12616
619	20539	12588
620	20583	12562
621	20622	12532
622	20661	12502
623	20702	12474
624	20742	12445
625	20778	12414
626	20819	12385
627	20860	12356
628	20900	12327
629	20939	12297
630	20980	12269
631	21023	12241
632	21065	12213
633	21104	12183
634	21148	12156
635	21176	12119
636	21213	12088
637	21256	12060
638	21296	12031
639	21339	12003
640	21380	11974
641	21452	11962
642	21489	11931
643	21528	11900
644	21569	11871
645	21609	11841
646	21652	11813
647	21695	11785
648	21739	11757
649	21786	11731
650	21826	11700
651	21867	11671
652	21906	11641
653	21949	11612
654	21989	11582
655	22033	11554
656	22077	11525
657	22119	11496
658	22163	11468
659	22210	11441
660	22252	11412
661	22298	11384
662	22341	11356
663	22385	11327
664	22425	11296
665	22491	11279
666	22537	11251
667	22581	11223
668	22624	11193
669	22672	11167
670	22716	11138
671	22761	11109
672	22774	11065
673	22818	11036
674	22862	11007
675	22907	10979
676	22950	10949
677	22995	10921
678	23045	10894
679	23087	10864
680	23117	10828
681	23159	10798
682	23202	10768
683	23246	10739
684	23290	10710
685	23331	10679
686	23374	10649
687	23414	10618
688	23457	10588
689	23525	10569
690	23566	10538
691	23608	10507
692	23652	10478
693	23703	10451
694	23747	10421
695	23790	10391
696	23830	10359
697	23878	10331
698	23921	10300
699	23963	10270
700	24003	10238
701	24045	10207
702	24097	10180
703	24170	10162
704	24214	10132
705	24254	10100
706	24295	10068
707	24335	10036
708	24374	10004
709	24416	9973
710	24455	9940
711	24537	9925
712	24580	9894
713	24623	9862
714	24661	9830
715	24697	9796
716	24736	9763
717	24776	9731
718	24816	9698
719	24855	9666
720	24895	9633
721	24936	9601
722	24976	9569
723	25014	9535
724	25055	9503
725	25098	9472
726	25136	9439
727	25178	9407
728	25229	9378
729	25269	9346
730	25317	9316
731	25360	9284
732	25403	9253
733	25445	9221
734	25487	9189
735	25541	9161
736	25596	9134
737	25636	9101
738	25683	9070
739	25724	9038
740	25768	9006
741	25819	8977
742	25863	8946
743	25903	8912
744	25941	8879
745	25986	8847
746	26028	8815
747	26080	8786
748	26127	8755
749	26174	8724
750	26216	8692
751	26259	8659
752	26302	8627
753	26343	8594
754	26384	8561
755	26423	8528
756	26469	8496
757	26511	8463
758	26552	8431
759	26620	8406
760	26660	8373
761	26703	8340
762	26744	8307
763	26783	8273
764	26822	8239
765	26873	8209
766	26912	8175
767	26950	8141
768	26987	8106
769	27032	8074
770	27076	8042
771	27120	8009
772	27162	7976
773	27205	7943
774	27244	7909
775	27281	7875
776	27326	7842
777	27369	7809
778	27413	7777
779	27454	7743
780	27496	7710
781	27539	7677
782	27583	7644
783	27651	7618
784	27685	7582
785	27723	7548
786	27763	7514
787	27802	7479
788	27844	7446
789	27882	7411
790	27923	7378
791	27962	7343
792	28003	7309
793	28043	7275
794	28087	7242
795	28125	7208
796	28166	7174
797	28206	7139
798	28246	7105
799	28289	7072
800	28334	7039
801	28372	7004
802	28426	6973
803	28468	6939
804	28517	6907
805	28558	6873
806	28600	6840
807	28680	6815
808	28717	6780
809	28753	6744
810	28794	6710
811	28839	6677
812	28886	6644
813	28929	6610
814	28972	6576
815	29018	6543
816	29062	6509
817	29103	6475
818	29144	6440
819	29186	6406
820	29231	6373
821	29275	6339
822	29320	6305
823	29364	6271
824	29408	6238
825	29452	6204
826	29494	6170
827	29537	6135
828	29579	6101
829	29622	6067
830	29698	6039
831	29734	6004
832	29777	5969
833	29821	5935
834	29868	5902
835	29912	5868
836	29957	5833
837	30013	5802
838	30059	5768
839	30101	5733
840	30143	5698
841	30187	5664
842	30229	5629
843	30272	5595
844	30318	5561
845	30363	5527
846	30408	5492
847	30445	5457
848	30490	5422
849	30532	5388
850	30575	5353
851	30620	5319
852	30664	5284
853	30752	5257
854	30797	5222
855	30838	5187
856	30878	5152
857	30925	5118
858	30970	5083
859	31012	5048
860	31055	5013
861	31094	4977
862	31140	4943
863	31188	4909
864	31231	4874
865	31271	4838
866	31312	4803
867	31355	4768
868	31401	4733
869	31444	4698
870	31498	4665
871	31546	4630
872	31587	4595
873	31633	4560
874	31678	4525
875	31719	4489
876	31804	4460
877	31846	4425
878	31889	4389
879	31932	4354
880	31972	4318
881	32017	4283
882	32061	4248
883	32107	4213
884	32150	4177
885	32192	4142
886	32239	4107
887	32279	4071
888	32326	4036
889	32369	4000
890	32411	3965
891	32453	3929
892	32501	3894
893	32544	3858
894	32587	3823
895	32633	3787
896	32677	3752
897	32721	3716
898	32764	3680
899	32856	3650
900	32899	3614
901	32944	3579
902	32989	3543
903	33036	3508
904	33074	3471
905	33120	3436
906	33165	3400
907	33209	3364
908	33252	3328
909	33291	3292
910	33334	3256
911	33375	3220
912	33419	3184
913	33463	3148
914	33508	3112
915	33550	3076
916	33593	3040
917	33632	3004
918	33676	2968
919	33717	2931
920	33759	2895
921	33805	2859
922	33847	2823
923	33931	2790
924	33973	2754
925	34021	2718
926	34064	2682
927	34106	2646
928	34156	2610
929	34199	2574
930	34243	2537
931	34290	2501
932	34337	2465
933	34380	2429
934	34425	2393
935	34468	2356
936	34514	2320
937	34560	2284
938	34602	2247
939	34646	2211
940	34688	2174
941	34732	2138
942	34778	2102
943	34815	2065
944	34864	2029
945	34956	1995
946	35000	1958
947	35036	1921
948	35080	1885
949	35119	1848
950	35163	1811
951	35206	1775
952	35249	1738
953	35301	1702
954	35344	1665
955	35390	1628
956	35431	1592
957	35473	1555
958	35514	1518
959	35555	1481
960	35600	1444
961	35641	1407
962	35692	1371
963	35736	1334
964	35780	1297
965	35822	1260
966	35863	1223
967	35905	1186
968	35974	1150
969	36036	1114
970	36083	1077
971	36131	1040
972	36176	1003
973	36226	967
974	36270	930
975	36317	893
976	36362	856
977	36405	818
978	36444	781
979	36485	744
980	36526	707
981	36565	670
982	36610	633
983	36661	596
984	36707	558
985	36751	521
986	36798	484
987	36842	447
988	36890	410
989	36932	373
990	36982	335
991	37085	299
992	37135	261
993	37182	224
994	37235	187
995	37282	149
996	37329	112
997	37374	74
998	37411	37
999	37452	0
